Date,Member,Party,State / District,Title,Press Release,Caucus
May 9,Pramila Jayapal,D,Wash.-7,Jayapal Statement Commending Biden for Statements in Support of Withholding Weapons from Israel,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755",Congress Progressive
May 8,Morgan Griffith,R,Va.-9,Griffith Statement on President Biden Pause on Israel Arms Shipment,"Washington, DC – Today, Democratic Leader Hakeem Jeffries delivered remarks at the Holocaust Days of Remembrance ceremony to honor the survivors, remember the victims and make clear our commitment to fighting antisemitism in all its forms.  Leader Jeffries: President Biden, Speaker Johnson, Speaker Emerita Pelosi, Ambassador Eizenstat, Director Bloomfield, all of my colleagues in Congress, honorable ambassadors. To Frank, Abe, Manny, Rae, Alfred, all those survivors whose lives we honor and to all those assembled for this incredibly important event, thank you for your presence here today.Let me begin by making clear our commitment to doing everything that we can, with the positions of authority that we have, in the times when it matters the most, to ensure that never again, unequivocally, means never again.More than 40 years ago, Congress established the Days of Remembrance and enshrined into law the moral necessity to gather in commemoration of the 6 million Jews who were brutally murdered during the Shoah.Holocaust survivor, author and noted humanitarian, Elie Wiesel, when accepting his Nobel Peace Prize in 1986, said that “action is the only remedy to indifference” and he made clear that indifference is “the most insidious danger of all.”This is a day for remembrance and action. A day to honor the memory of all those murdered by the evil Nazi regime. It’s a day to honor the Holocaust survivors, like Eva Cooper from New York City, and so many others who endured and escaped unconscionable atrocities. It’s a day to recommit to the struggle against indifference. As the El Maleh Rahamim prayer that will be heard today so beautifully and hauntingly pleads, we gather to ask God to protect and elevate the souls of those taken from our world too soon.We are also here exactly seven months to the day of the horrific atrocities committed by Hamas on 10/7, the largest loss of Jewish life on a single day since the Holocaust. There are families whose loved ones were slaughtered. There are hostages still being held in horrific conditions.And we are witnessing a deeply disturbing rise in antisemitism on campuses throughout the country and in the world. This is a very searing time for the Jewish community. Systematic oppression has been a reality of Jewish life for thousands of years, having to endure expulsions, pain, pogroms, persecution, prejudice and the horrors of the Holocaust, a previously unthinkable crime against humanity.Last Sabbath, Jewish communities across the world read the Torah portion which followed the tragic deaths of Aaron’s two sons, Nadav and Avihu. During this moment of great vulnerability, Aaron receives instructions from God that he, as the High Priest, must carry out during the Yom Kippur service.We learned from God and Aaron that Jewish life, practice and community must continue in the face of horrific tragedy. Aaron embodies what it means to be resilient when confronting immense pain. Today, in partnership with the Jewish community, we recommit to carrying on with strength and resilience. We recommit to the remembrance of the Holocaust. We recommit to the principle of never again. And we recommit to eradicating antisemitism whenever and wherever it rears its ugly head.As we lift up the spirit and memory of all who perished during the Holocaust and honor the survivors with us today, let us always place irreversible determination over indifference. The effort to combat antisemitism is not a Democratic issue or a Republican issue, it’s an American issue. We must crush antisemitism – along with racism, sexism, Islamophobia, xenophobia, homophobia and all other forms of hatred – together.That’s the American way – together. And together, we will defeat antisemitism with the fierce urgency of now. That’s a moral necessity.God bless each and every one of you. God bless the survivors. May God bless the United States of America.Full remarks are available here.   ### Subscribe to our e-newsletter that provides updates
					on important issues, my work in the Congress and what's
					happening in our district.",Freedom Party
May 8,Ayanna Pressley,D,Mass.-7,"Pressley, Haiti Caucus, Colleagues, Advocates Renew Calls for Federal Action to Stabilize Haiti, Address Growing Crisis on the Island","Washington, DC – Today, Congresswoman Julia Brownley (D-CA) announced the introduction of the VA Marriage and Family Therapists Equity Act, legislation which would expand access to professional therapists for veterans and their families. Specifically, this bill would remove an onerous regulation that limits the practice of nearly half of all the Licensed Marriage and Family Therapists (LMFTs) employed by the U.S. Department of Veterans Affairs (VA).  Currently, VA hires LMFTs who are licensed through a variety of organizations, including the Commission on Accreditation for Marriage and Family Therapy Education (COAMFTE) program and the American Association for Marriage and Family Therapy (AAMFT). On average, 30% of LMFTs do not graduate from COAMFTE programs across the nation, and in California that number rises to 95%. Despite these rates, VA’s current regulations state that only those licensed through COAMFTE may be promoted to supervisory positions. Given the limited pay and career development, this regulation discourages qualified LMFTs from wanting to work for VA.  “The current regulations for licensed marriage and family therapists at VA are overly rigorous and are not in line with industry standards, which results in nearly half of all the therapists at the VA to be extremely restricted,” said Congresswoman Brownley. “The varied needs of our nation’s veterans and their families must be addressed through the recruitment and retention of highly-qualified professionals. My bill ensures that VA can significantly expand veterans’ access to therapists and that the delivery of quality and timely care continues to be the standard, not the exception.”  “The VA hires licensed marriage and family therapists to serve as providers of essential behavioral health services to our Veterans,” said Christine Michaels, Chief Executive Officer of the American Association for Marriage and Family Therapy. “However, VA policy significantly restricts the ability of these MFTs to be promoted to supervisory positions within the VA, a restriction which does nothing to improve care for Veterans while encouraging MFTs working for the VA to leave for other opportunities. This legislation will remove this restriction and encourage employee retention and continuity of care by allowing many more MFTs serving in the VA the opportunity to be promoted to supervisory positions.” “America’s veterans deserve timely access to mental health care, here in California and across our nation. CAMFT wants to thank Representative Brownley for authoring key legislation that will make it easier for more Marriage and Family Therapists to provide care within the VA system, reducing wait times for needed services and ensuring our veterans are supported,” said Joy Alafia Executive Director of the California Association of Marriage & Family Therapists. LMFTs assist individuals and couples through interpersonal conflicts, major life changes, and work to develop appropriate coping mechanisms for a variety of challenges. The unique challenges that our nation’s military and veteran families face need to be addressed through robust, wrap-around services, quality caretakers, and holistic treatment, regardless of location.  Read the full text of the VA Marriage and Family Therapists Equity Act, here. ### 
                            Issues: 118th Congress, Veterans' Affairs  2262 Rayburn House Office Building
Washington, DC 20515
Phone: (202) 225-5811
Fax: (202) 225-1100
Hours: Monday – Friday 9:00am-6:00pm Eastern 223 E. Thousand Oaks Blvd., Suite 220
Thousand Oaks, CA 91360
Phone: (805) 379-1779
Fax: (805) 379-1799
Hours: Monday – Friday 8:00am-5:00pm Pacific 201 East Fourth Street, Suite 209B
Oxnard, CA 93030
Phone: (805) 379-1779
Fax: (805) 379-1799
Hours: Please call to make an appointment.",Congress Progressive
May 8,Pramila Jayapal,D,Wash.-7,"Jayapal, Padilla, Congressional Leaders, Advocates Call for Executive Action to Protect American Families","April 23, 2024 Text of Letter (PDF) WASHINGTON – Haiti Caucus Co-Chair Congresswoman Ayanna Pressley (MA-07), alongside Co-Chairs Congresswoman Yvette D. Clarke (NY-09) and Sheila Cherfilus-McCormick (FL-20), led a group of 50 lawmakers urging the Biden Administration to redesignate Haiti for Temporary Protected Status (TPS), pause on deportations back to Haiti, extend humanitarian parole to any Haitians currently detained in Immigration and Customs Enforcement’s detention centers, end detention of Haitian migrants intercepted at sea, and provide additional humanitarian assistance for Haiti. “We urge the Administration to redesignate Haiti for Temporary Protected Status (TPS), halt deportations back to Haiti, and extend humanitarian parole to any Haitians currently detained in Immigration and Customs Enforcement’s (ICE) detention centers. Additionally, we request your administration’s end to the detention of Haitian migrants who were interdicted at sea. The possibility of transferring them to Guantánamo Bay naval base and other offshore migrant detention centers is concerning and must not be explored. In addition, we are asking that you provide humanitarian assistance to help Haitians navigate these tragically traumatic and difficult times,” the lawmakers wrote in a letter to the Administration. Cosigners in the House include Representatives Gabe Amo, Joyce Beatty, Jamaal Bowman, Cori Bush, Tony Cardenas, Troy Carter, Greg Casar, Kathy Castor, Joaquin Castro, Emanuel Cleaver, Danny Davis, Veronica Escobar, Adriano Espaillat, Dwight Evans, Maxwell Frost, Jesus “Chuy” García, Raul Grijalva, Steven Horsford, Jonathan Jackson, Sheila Jackson Lee, Pramila Jayapal, Hank Johnson, Sydney Kamlager-Dove, Robin Kelly, Ro Khanna, Barbara Lee, Summer Lee, Jennifer McClellan, Jim McGovern, Grace Meng, Kweisi Mfume, Eleanor Holmes Norton, Ilhan Omar, Donald Payne, Mark Pocan, Mike Quigley, Delia Ramirez, Jan Schakowsky, Terri Sewell, Darren Soto, Marilyn Strickland, Bennie Thompson, Rashida Tlaib, Ritchie Torres, Marc Veasey, Nydia Velázquez, Debbie Wasserman Schultz, Bonnie Watson Coleman, Williams, and Frederica Wilson.  The letter is endorsed by 140 organizations and advocacy groups including UndocuBlack Network, Haitian Bridge Alliance, Communities United for Status and Protection (CUSP), African Communities Together, National Association for the Advancement of Colored People (NAACP), Florida Immigrant Coalition (FLIC), Haitian Americans United for Progress, Inc. (HAUP), Alianza Americas, National Immigrant Justice Center, Adhikaar for Human Rights and Social Justice, Human Rights First, Institute for Justice and Democracy in Haiti, International Refugee Assistance Project (IRAP), TPS-DED AAC Coalition, Center for Gender & Refugee Studies, Faith in Texas, Immigration Hub, National Partnership for New Americans (NPNA), Estrella del Paso (Formerly Diocesan Migrant and Refugee Services Inc), and more. A copy of the letter can be found here. As Representative for the Massachusetts 7th Congressional District, Congresswoman Pressley serves as Co-Chair for the House Haiti Caucus and represents one of the largest Haitian diaspora communities in the country, with approximately 46,000 Haitians and Haitian-Americans living across the state and over half in the Boston metropolitan area. Additionally, Massachusetts is home to more than 4,700 Haitians with Temporary Protected Status. ### Washington DC Office 402 Cannon HOB
Washington, DC 20515 Phone (202) 225-5111
Fax (202) 225-9322 District Office 1295 River Street
Hyde Park, MA 02136 Phone (617) 850-0040
Fax (202) 225-9322",Congress Progressive
May 3,Andy Biggs,R,Ariz.-5,Opposing the Uniparty's Latest Attack on the Constitution,"            In advance of chairing a congressional hearing on Tuesday, Rep. Chris Smith (R-NJ), Chair of the House Global Human Rights Subcommittee, has penned a letter to the Inter-American Commission on Human Rights (IACHR) requesting information on serious allegations of human rights violations in Brazil.             “The Subcommittee has been informed of serious allegations of human rights violations committed by Brazilian officials on a large scale,” Smith wrote to IACHR President Roberta Clarke and the Special Rapporteur for Freedom of Expression Pedro José Vaca Villarreal.             “Most notably, credible allegations have been made of mass violations of freedom of expression, including censorship imposed through abuses of judicial authority and the muzzling of opposition media,” Smith wrote.             “In view of the mandate of the Inter-American Commission on Human Rights, and particularly of the Special Rapporteur for Freedom of Expression, to promote respect for human rights and freedom of expression, including to monitor and collect relevant reports, information on developments in Brazil, I respectfully request that you share any information you have concerning these human rights violations,” Smith continued.             “Additionally, please inform the Subcommittee of what steps or measures the office of the Special Rapporteur for Freedom of Expression and the Interamerican Commission on Human Rights have taken to address the ongoing situation in Brazil and what suggestions—if any— it can make to this body to attend to it,” Smith added. ### Chris has three offices dedicated to constituent services. Check out the location nearest to you: 2373 Rayburn House Office Building 
Washington, D.C. 20515 33 Washington Street
P.O. Box 728
Toms River, NJ 08754
 *Please call for an appointment. 1715 Highway 35 North, Suite 303
Middletown, NJ 07748 *Please call for an appointment.",Freedom Party
May 6,Julia Brownley,D,Calif.-26,Brownley Introduces Legislation to Expand Access to Marriage and Family Therapists at VA,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details,New Democrat Coalition
April 23,Ayanna Pressley,D,Mass.-7,"Pressley, Clarke, Cherfilus-McCormick, Haiti Caucus Urge Biden Admin. to Protect Haitian Migrants, Send Humanitarian Assistance To Haiti",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details,Congress Progressive
May 6,Nanette Barragán,D,Calif.-44,Rep. Barragn Secures $500k Grant for LB Housing Project,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details,Congress Progressive
May 6,Ayanna Pressley,D,Mass.-7,Rep. Pressleys Statement on Steward Health Care Bankruptcy Filing, Hours: 9:00AM-5:00PM Hours: 9:00AM-5:00PM Hours: 9:00AM-5:00PM,Congress Progressive
May 3,Mike Quigley,D,Ill.-5,Catching Up With Quigley: Week of April 29,"Congress returns to session today after a two-week Easter recess. While the House may have been on break, I had a very busy two weeks, first leading a delegation of my colleagues on a trip to Israel and then working around the district here at home.  Joint Schneider & Wasserman Schultz Delegations
Visiting with Israel President and First Lady Isaac and Michal Herzog In Israel, we visited both the Gaza and Lebanese borders and met with several government officials, including Prime Minister Netanyahu and President Isaac Herzog. In the meeting with the Prime Minister, we emphasized three priorities: I spoke about my trip with Jake Tapper of CNN (watch here).  After returning from my trip, I had a wonderful week at home. I visited with high school students in Winnetka, Warren Township and Antioch, as well as college students at Lake Forest College. We hosted our annual Congressional Art Competition at the College of Lake County, and I joined the STEAM Scholars students on a fascinating tour at Valent BioSciences in Libertyville. I toured several different sites around the district, including Keshet’s new facility in Highland Park, Kindercare in Round Lake, Handi-Foil Corporation in Antioch, ARCOA in Gurnee and Growmark in Hebron. As always, we had many people visit the office to share their stories, priorities and ideas.
Back in Washington, D.C., after finally passing the FY2024 spending bills, Congress must now work to catch up on the many important bills blocked by the six-month impasse over appropriations. Key among the priority legislation waiting for Congress to act is the Foreign Intelligence Security Act (FISA) reform bill, as well as a bill reauthorizing the Affordable Connectivity Program that provides internet to thousands of families in the Tenth District and is set to expire at the end of the month. Congress is also expected to act soon to address border security and pass essential national security funding for our allies Ukraine, Israel and Taiwan. We are also waiting to see if the Senate will pass the bipartisan tax bill that passed overwhelmingly in the House in February. Please keep reading to learn more about happenings here at home and in Washington.  If you or your student is interested in Military Academy Service, please join me on Wednesday, April 24th from 6:00 pm to 7:30 pm for Service Academy Night. We will discuss how to apply for military academies and what you need to know throughout the nomination process. Click here to RSVP.
Representatives from each service academy will discuss their institution and the admissions process. Congressman Schneider will also discuss the Congressional nomination process. After the program concludes, students and parents will visit the tables to talk one-on-one with the academy representatives.
Students, parents, guidance counselors and school officials are welcome to attend.
Questions? Call my office at (847) 383-4870.  I was honored to join the Connecting to Classrooms Town Hall program again for a virtual conversation this year with Warren Township and Antioch Community High School students. The program, developed by a collaboration between Ohio State, Brown, and California Riverside universities, helps high school students engage with their Member of Congress on an important political issue through a “Deliberative Town Hall.”   Students at North Shore Country Day asked a variety of questions about current events and life in Congress. They are studying the election process, and we discussed what motivated me to seek public office and what it’s like to be on the campaign trail.  I enjoyed speaking with the 8:00 AM class on American Politics at Lake Forest College. (I mention the time because I was impressed by the students' waking up early for class and their insightful questions).   Valent BioSciences hosted the STEAM Scholars class and gave them a look at the exciting research work happening at their facility in Libertyville. Among the many science-related professionals working at Valent's research facility houses plant, soil, and formulation scientists, as well as microbiologists, entomologists, and chemists who work daily to help our country's agriculture flourish.
Thank you to CEO Salman Mir and John Mandel for welcoming students, Dr. Venburg and Dr. McHatton for leading our tour groups, and the rest of the Valent team for sharing more about their work and how our students can prepare now to take on the high-skill STEAM jobs of tomorrow.  I met with the Commanding Officer of Naval Station Great Lakes, Captain Steve Yargosz, the Executive Officer, Commander Terry Traweek, and Command Master Chief Jon Crisafulli. We had a wide-ranging conversation about activities at the base and around the community. One of the priorities we shared was addressing conditions at the Halsey Village neighborhood. During my time at home, I had the opportunity of visiting five of the many great companies that are standout organizations in our area.  I’m grateful to my friend Jen Phillips, who welcomed me to Keshet’s new facilities in Highland Park. Keshet Disabilities & Inclusion provides educational, recreational, vocational and social programs for individuals with intellectual disabilities, operating according to traditional Jewish values.   At the Kindercare facility in Round Lake I visited the different classrooms and talked with the management team about some of the challenges facing childcare providers. I enjoyed my time meeting the “students” ranging in age from six weeks to five years old, especially having the chance to read to one of the groups.   Thanks to the team at ARCOA for showing me around their facilities in Waukegan and Gurnee. ARCOA works with clients to securely recycle and remanufacture technology like computers, copiers and more). They serve clients around the world, including the U.S. government.  I also toured Handi-Foil’s Antioch facility, learning how they combine innovation and attention to detail to provide high-quality, American-made foil products to familiar names like Costco, Sam’s Club and Chipotle.  I visited Von Bergen Farm in Hebron to talk with Mike Von Bergen and other members of the Conserve FS and Growmark family. We talked about some of the challenges farmers face and the importance of passing the Farm Bill before the end of the year. We also shared some of Mike’s mother’s delicious apple pie. I love welcoming people to our Lincolnshire office to talk about policy, share ideas, or help tackle challenges people face in dealing with our federal agencies. Remember, if you would like to meet with me, you don’t have to travel to Washington; you can always request a meeting here at home.  The executive board of the Ukrainian Congress of America came to update me on the war in Ukraine and reinforce the importance of the House passing the essential aid bill that will help the people of Ukraine defeat Russia’s illegal invasion.  I enjoyed catching up with representatives from New York Life to talk about the important work they do serving their client's financial security needs.  Allan Navaro, Facility Administrator at DaVita’s center in Lake Villa, and Kiyomi Hamilton, Regional Director, came to our office to share the work DeVita is doing to provide for people in Lake County and across the country who are dealing with kidney disease.  Lake County Administrator Patrice Sutton and I met to discuss how we can work together to serve Lake County residents. Administrator Sutton was elected to her current position in October of 2023. WHAT’S HAPPENING IN WASHINGTON  One of the early signs of spring is the annual visit with representatives from our local Garden Clubs. This year, I welcomed guests from Lake Forest, Winnetka and Wilmette to discuss their legislative priorities for the year.  Dr. Tom Shanley (President and CEO), Susan Hayes Gordon (SVP, Chief External Affairs Officer) and Fatema Zanzi (EVP, Chief Administrative and Legal Officer) of Ann and Robert H. Lurie Children’s Hospital in Chicago stopped by to discuss federal policies impacting child health and issues specifically important to Lurie.  American companies play an important role in Egypt’s economy. Members of the American Chamber of Commerce in Egypt visited Washington to highlight their work and the importance of a strong U.S.-Egypt relationship.  The United States Holocaust Memorial Museum hosted a group of college-age immigrant students from Paris who traveled to the U.S. to learn more about the Holocaust and fighting hate. As a Trustee of the U.S. Holocaust Memorial Museum, I was happy to welcome them to my office and discuss my work combatting antisemitism.  My good friend Ted Deutch, a former colleague and CEO of the American Jewish Committee, sat down with members of the House Bipartisan Task Force for Combating Antisemitism to discuss the ongoing battle against antisemitism in America.  I was honored to address the ANC of Illinois during their annual visit to the Capitol to discuss the ongoing situation in Artsakh (Ngorno Karabakh) and the future of Armenian–U.S. relations.  The Asian American Hotel Owners Association met on Capitol Hill to discuss their industry with legislators and how their businesses impact their communities. I was happy to stop by and express my appreciation for their work, especially to connect with friends from home.  My dear friend David Lega, a member of the European Parliament in Brussels, and Magnus Berntsson, a member of the Swedish Parliament, dropped by to discuss shared interests between the European Union, Sweden and the United States. David is also a founder and fellow member of the Inter-Parliamentary Task Force Combating Online Antisemitism.  I met with student leaders of Olami, a worldwide outreach organization for Jewish students, leading a grassroots initiative empowering students to take a stand against antisemitism. I’ve been clear that we must call out antisemitism and all prejudice and hate wherever and whenever it rears its ugly head. Please visit my website to find resources available for everything from saving money on your internet bill to locating your local food bank and many other help lines.  My Office at the Waukegan Township is Open Every Monday to Serve You You don’t need to travel to Lincolnshire to meet with my casework team. If you need any assistance with a Passport, Medicare, Social Security, the Veterans Administration or immigration, you can now schedule an appointment to meet with our caseworkers in a location near you to discuss any federal issues you may have. You can schedule an appointment to meet with my staff at the following locations: Deerfield Richmond Winnetka Zion If you can’t make it to an appointment at the above location, you can also visit our following walk-in locations:Lake Villa Round Lake Park Waukegan Wheeling 
If you have any questions or need help making an appointment, you can always contact my Lincolnshire Office at (847) 383-4870.  Spring is officially here, even if the thermometer doesn’t show it. I had a great time with Julie at the annual Orchid Show at the Chicago Botanic Garden. We were dazzled by the beauty of the wide variety of orchids on display and the extraordinary creativity of the show’s design team.
As the weather begins to warm and things start to bloom around us, I hope you and your loved ones have the opportunity to enjoy the new season and visit the Garden as well as many other wonderful areas around our Tenth District. Sincerely,
Bradley S. Schneider
Member of Congress",New Democrat Coalition
