Date,Member,Party,State / District,Title,Press Release
May 8,Kevin McCarthy,R,Calif.-20,Speaker Johnson: Americans Should Decide American Elections,"FOR IMMEDIATE RELEASE | Contact: Olivia Porcaro 202-225-6165 Over the past few months, we have watched violent, antisemitic, un-American, and pro-terrorist mobs take over college campuses across the country, endangering Jewish students and other innocent bystanders. Yet, for months, many Democrats have refused to speak out against the protests.  Sadly, this is no surprise. Antisemitism is a disease that the Far-Left, along with liberal university leaders, has allowed to spread.  In fact, over the past year, we have watched Democrats spread anti-Israel rhetoric time and time again. Some have called for Israeli Prime Minister Netanyahu to be replaced, one said it was an “honor” to visit with the pro-Hamas protestors at Columbia University, one defended the phrase “from the river to the sea”, which implies the destruction of Israel, one denounced Israel as a “racist state,” and more.  In addition, Far-Left Democrats in the House of Representatives have repeatedly voted against legislation supporting Israel. Back in October, immediately following Hamas’ barbaric October 7th attack on Israel, nine Democrats voted against a resolution to stand with Israel as it defended itself from the terrorist group. Then, again, just a few weeks ago, thirteen Democrats voted against condemning Iran’s missile attack on Israel.  The recent actions of the Democrats with respect to Israel are both outrageous and inappropriate. They truly seem to have lost all sense of moral and political clarity and have made it very clear - the Far-Left has a serious anti-Israel problem.  I couldn’t disagree with their views of Israel more.  Israel is our closest friend and ally in the Middle East, and the only democracy in the region. They are under assault by Iran, the largest state sponsor of terrorism and a deadly enemy to both Israel and the United States, and Hamas, a terrorist group who not only ruthlessly murdered over 1,200 Israelis on October 7, 2023, but also still holds over one hundred hostages, including five Americans.  These attacks on Israel are defining moments. Yet, instead of leading through strength and proving to the rest of the world that the United States remains steadfast in our commitment to Israel’s security, many Democrats have publicly criticized our democratic ally. This is both unthinkable and unprecedented, as their actions are driving a rift between the United States and its closest ally, playing into the objectives of the terrorists.   Although I have no faith that they will, I am calling on all of them, as well as the morally bankrupt university leaders who are allowing pro-terrorist protests on their campuses, to stand with our great ally, Israel, at this critical moment.   As the Leader of the Free World, we must support our allies, work together, and lead through with strength. To do anything else is a public betrayal to our friends in Israel and effectively supports an enemy to civilized people around the world. E-mail Me"
May 8,Kevin McCarthy,R,Calif.-20,"Speaker Johnson, Leader McConnell: “Security Assistance to Israel is an Urgent Priority That Must Not Be Delayed”","2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 8,Kevin McCarthy,R,Calif.-20,Speaker Johnson Remarks Following Failed Motion To Vacate,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 8,Kevin McCarthy,R,Calif.-20,Speaker Johnson Statement on House Passage of Equal Representation Act,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 9,Kevin McCarthy,R,Calif.-20,Speaker Johnson on Fox and Friends: “I Appreciate the Overwhelming Show of Confidence By My Colleagues”,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 9,Kevin McCarthy,R,Calif.-20,Speaker Johnson on Biden Abandoning Israel: “100% Political”,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 9,Pramila Jayapal,D,Wash.-7,Jayapal Statement Commending Biden for Statements in Support of Withholding Weapons from Israel,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 7,Robert E. Latta,R,Ohio-5,Latta Announces 2024 Congressional Art Competition Winners,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 8,Robert E. Latta,R,Ohio-5,Latta Honors Ohio Students Accepted to U.S. Military Service Academies,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 9,Blaine Luetkemeyer,R,Mo.-3,Rep. Luetkemeyer Calls for Chairman Gruenbergs Resignation,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
